Id,Suburb,Value,Date,NumberOfBedrooms,Type
1186,Elizabeth Bay,548,07/09/2024,2,unit
1187,Camellia,1235,30/07/2023,4,unit
1188,Lilyfield,1761,07/07/2023,3,house
1189,Strathfield,1230,22/08/2023,2,unit
1190,Abbotsford,1356,06/05/2023,1,house
1191,North Strathfield,1293,12/09/2024,4,house
1192,Revesby Heights,1062,28/01/2024,4,unit
1193,Edmondson Park,1509,22/04/2023,3,house
1194,Campsie,862,15/02/2023,4,unit
1195,Clarendon,1873,29/11/2023,4,house
1196,Willmot,1213,28/04/2023,4,house
1197,Whale Beach,960,27/09/2023,4,house
1198,Bronte,1077,15/02/2024,5,unit
1199,Kurraba Point,1926,14/02/2024,4,house
1200,Riverstone,1381,05/06/2024,5,unit
1201,Rouse Hill,1431,06/07/2023,1,unit
1202,Wentworthville,868,16/08/2024,4,house
1203,Elizabeth Bay,2187,23/01/2023,3,house
1204,McCarrs Creek,1209,29/05/2023,5,house
1205,Marayong,837,08/04/2024,3,unit
1206,Palm Beach,1327,09/07/2024,3,house
1207,Sadleir,1073,05/08/2024,2,unit
1208,Lovett Bay,2200,15/04/2023,3,house
1209,Woolooware,543,05/05/2024,3,unit
1210,Denistone East,2152,21/07/2024,4,house
1211,Greenhills Beach,752,10/10/2023,2,unit
1212,Newtown,1275,18/12/2023,3,house
1213,Wiley Park,1079,28/06/2024,2,unit
1214,Waterloo,841,28/03/2023,2,house
1215,Arndell Park,1438,16/07/2024,2,unit
1216,Haberfield,1950,19/01/2024,2,house
1217,The Ponds,1352,02/01/2024,5,unit
1218,Rozelle,1786,16/01/2023,1,house
1219,Berala,704,03/07/2024,4,unit
1220,Lakemba,2092,19/02/2024,1,house
1221,Erskine Park,1881,04/03/2023,1,house
1222,Rosehill,545,25/02/2024,3,unit
1223,Clyde,2040,24/04/2024,4,house
1224,Blakehurst,827,21/06/2024,1,unit
1225,Llandilo,907,22/06/2024,1,unit
1226,Rushcutters Bay,880,09/04/2023,4,house
1227,Northbridge,969,22/05/2023,4,house
1228,Kings Langley,957,28/12/2023,3,house
1229,South Granville,1106,19/04/2023,4,unit
1230,St Clair,1110,20/07/2023,4,house
1231,Beverly Hills,1413,17/05/2023,5,house
1232,Denistone,1468,26/10/2024,3,house
1233,Kogarah Bay,1576,18/02/2023,2,house
1234,Potts Point,1098,28/05/2023,4,house
1235,Castle Hill,725,25/11/2023,2,unit
1236,Campbelltown,1633,08/06/2024,3,house
1237,Wisemans Ferry,863,22/05/2024,5,unit
1238,Werrington County,1356,29/02/2024,3,unit
1239,Narellan Vale,1633,26/10/2023,5,house
1240,Manly,1329,21/11/2023,4,house
1241,Ropes Crossing,1167,12/05/2023,3,unit
1242,Matraville,951,08/09/2024,5,unit
1243,Clovelly,2203,22/03/2024,2,house
1244,Wolli Creek,1917,06/07/2023,3,house
1245,Werrington Downs,976,12/06/2024,4,house
1246,Carlingford,1725,18/09/2023,3,house
1247,Voyager Point,1597,02/08/2024,5,house
1248,Cecil Hills,850,19/02/2024,3,unit
1249,Putney,637,18/12/2023,5,unit
1250,La Perouse,1195,23/08/2024,4,house
1251,Sylvania Waters,768,01/07/2024,1,house
1252,Rosehill,955,13/09/2024,3,house
1253,Warriewood,622,03/01/2023,3,unit
1254,Macquarie Links,1164,18/05/2023,3,house
1255,Croydon,2095,12/10/2023,3,house
1256,Banksia,571,19/05/2024,3,unit
1257,Condell Park,1379,19/01/2023,4,unit
1258,Glenorie,599,26/09/2023,2,unit
1259,Collaroy Plateau,560,13/08/2023,2,unit
1260,Manly,1296,08/04/2023,3,house
1261,North Narrabeen,614,07/12/2023,3,unit
1262,McGraths Hill,575,07/02/2024,1,unit
1263,Lane Cove,1945,16/08/2024,5,house
1264,Spring Farm,811,11/04/2024,2,unit
1265,Tregear,1264,11/02/2024,2,house
1266,Kingsford,1461,23/02/2023,2,house
1267,Riverview,1414,24/08/2024,2,house
1268,Royal National Park,1075,10/05/2023,5,house
1269,Hurstville Grove,1873,02/05/2023,1,house
1270,Riverstone,1208,04/12/2023,1,unit
1271,Condell Park,2247,15/11/2023,3,house
1272,Huntingwood,1339,12/02/2024,1,house
1273,Maroota,1258,27/05/2023,2,unit
1274,Greenacre,743,24/04/2024,1,unit
1275,McMahons Point,1669,24/03/2024,1,house
1276,Ashcroft,1011,23/09/2024,4,unit
1277,Peakhurst Heights,824,24/05/2024,1,unit
1278,Abbotsford,880,10/01/2023,3,unit
1279,Chester Hill,1606,10/11/2023,4,house
1280,Bardia,544,09/01/2024,3,unit
1281,Moore Park,1120,01/07/2024,4,unit
1282,Westmead,2212,07/01/2023,4,house
1283,Gladesville,1516,24/12/2023,1,house
1284,Dawes Point,2146,31/12/2023,4,house
1285,Palm Beach,948,10/09/2024,4,unit
1286,Whale Beach,1371,31/03/2024,3,unit
1287,Croydon,1882,18/10/2024,2,house
1288,Abbotsford,1391,27/04/2023,3,unit
1289,Kangaroo Point,518,21/02/2023,1,unit
1290,Woodcroft,1073,28/04/2023,3,unit
1291,Bondi,2146,10/04/2023,2,house
1292,Woolwich,933,26/04/2024,5,unit
1293,St Leonards,1902,19/03/2023,3,house
1294,Old Guildford,1213,18/05/2023,1,house
1295,North Curl Curl,777,17/10/2023,4,unit
1296,West Hoxton,1672,21/07/2023,2,house
1297,Kirrawee,2184,22/08/2024,2,house
1298,Bonnyrigg,1357,20/08/2023,4,unit
1299,Kingsgrove,1033,10/05/2023,3,house
1300,Botany,874,19/10/2023,2,unit
1301,Dolans Bay,768,23/03/2023,2,unit
1302,Centennial Park,1206,18/03/2023,4,unit
1303,Port Botany,1551,22/03/2024,1,house
1304,Marsden Park,1293,19/11/2023,3,house
1305,Enmore,774,03/10/2023,3,unit
1306,Kellyville,712,23/06/2024,5,unit
1307,Yagoona,1155,18/09/2023,2,house
1308,Kirkham,691,06/01/2023,2,unit
1309,Newington,1291,23/02/2024,3,unit
1310,Glebe,1356,21/02/2023,2,house
1311,North Strathfield,1932,14/08/2023,4,house
1312,Padstow Heights,1329,11/12/2023,4,unit
1313,Killarney Heights,1959,29/11/2023,2,house
1314,Castle Cove,931,08/03/2023,2,unit
1315,Eveleigh,1175,26/09/2023,3,unit
1316,Rookwood,2124,27/01/2023,5,house
1317,Greenhills Beach,930,10/12/2023,2,house
1318,Chiswick,1576,14/09/2023,2,house
1319,South Coogee,1370,25/09/2023,4,unit
1320,Picnic Point,1920,19/01/2024,5,house
1321,Rydalmere,527,22/01/2023,2,unit
1322,Eastwood,1936,18/08/2023,5,house
1323,Singletons Mill,756,13/01/2024,5,house
1324,Narellan Vale,1585,02/01/2023,1,house
1325,Harris Park,919,22/02/2023,3,unit
1326,Windsor Downs,1478,27/06/2023,4,unit
1327,Camperdown,1738,12/09/2024,4,house
1328,Harris Park,1108,25/09/2024,4,unit
1329,St Peters,1260,18/10/2023,2,unit
1330,Whale Beach,1849,09/07/2023,4,house
1331,Miller,900,16/05/2023,4,unit
1332,Shanes Park,1471,23/03/2023,2,unit
1333,Dawes Point,2166,14/09/2023,1,house
1334,Clarendon,1164,26/03/2024,4,unit
1335,Berowra Creek,1683,20/01/2024,1,house
1336,North Sydney,1254,01/06/2023,4,house
1337,South Penrith,1485,31/03/2024,5,house
1338,Cabramatta West,1539,22/10/2023,4,house
1339,Brighton-Le-Sands,1293,14/03/2024,3,house
1340,Middleton Grange,1417,07/10/2024,3,unit
1341,Como,946,21/01/2023,1,house
1342,Vineyard,879,17/03/2024,2,unit
1343,Morning Bay,561,18/04/2023,3,unit
1344,Asquith,1142,16/01/2023,3,unit
1345,Mount Kuring-Gai,1045,16/07/2024,4,unit
1346,Guildford,1162,29/03/2024,2,unit
1347,Warriewood,892,16/05/2023,2,unit
1348,McMahons Point,1457,26/05/2023,2,unit
1349,Coasters Retreat,2158,18/11/2023,5,house
1350,Greendale,1035,26/06/2023,3,house
1351,Bonnyrigg Heights,711,09/06/2024,3,unit
1352,Chiswick,1335,01/11/2023,5,house
1353,Cronulla,1302,28/07/2023,5,unit
1354,Erskine Park,1522,17/09/2024,1,house
1355,Mascot,984,22/03/2023,2,house
1356,Moorebank,1024,28/02/2023,2,house
1357,Rydalmere,1743,14/09/2023,4,house
1358,Berowra,936,04/02/2024,5,house
1359,Windsor,1872,22/03/2023,3,house
1360,Gymea Bay,1549,25/09/2023,5,house
1361,Narrabeen,1179,09/07/2023,5,unit
1362,Watsons Bay,1111,04/09/2024,2,house
1363,Woollahra,1791,30/06/2024,1,house
1364,St Marys,1285,12/02/2024,1,unit
1365,Como,1027,21/05/2024,5,unit
1366,Clovelly,1888,28/02/2024,5,house
1367,Greystanes,1451,01/09/2023,1,unit
1368,La Perouse,754,24/08/2024,5,house
1369,Vaucluse,858,02/02/2023,4,house
1370,Dangar Island,1275,04/07/2024,5,house
1371,Leets Vale,1108,15/10/2024,5,unit
1372,Beverly Hills,614,12/07/2023,4,unit
1373,South Windsor,1420,15/07/2023,2,unit
1374,Stanhope Gardens,1629,02/08/2024,4,house
1375,Gymea Bay,1495,29/06/2024,1,house
1376,Northmead,994,23/03/2023,3,unit
1377,Point Piper,1543,15/04/2023,4,house
1378,Mount Druitt,2050,06/06/2024,2,house
1379,Haberfield,947,15/04/2023,2,unit
1380,Clovelly,1537,24/02/2023,2,house
1381,Varroville,911,08/01/2024,4,unit
1382,East Ryde,771,03/12/2023,2,unit
1383,Redfern,878,09/12/2023,2,unit
1384,Clemton Park,1312,01/03/2023,2,house
1385,Quakers Hill,1606,26/08/2023,2,house
1386,Sefton,501,30/03/2023,4,unit
1387,Schofields,810,09/07/2024,1,unit
1388,Botany,2212,27/03/2024,3,house
1389,Warrawee,2145,20/08/2024,2,house
1390,Elderslie,699,10/02/2024,2,unit
1391,Riverview,683,25/02/2024,2,unit
1392,Darlinghurst,775,04/10/2023,3,house
1393,Davidson,1139,08/03/2024,5,unit
1394,Toongabbie,1340,20/09/2023,2,unit
1395,Vineyard,934,17/01/2024,4,unit
1396,Annangrove,1657,09/11/2023,1,house
1397,Ambarvale,1951,06/04/2024,2,house
1398,Yennora,696,09/03/2023,1,unit
1399,Mona Vale,2029,13/08/2024,3,house
1400,Campsie,2250,24/12/2023,1,house
1401,St Peters,726,18/10/2023,4,unit
1402,Balgowlah,1193,26/09/2023,2,unit
1403,Kogarah Bay,899,17/10/2023,2,unit
1404,Taren Point,954,05/06/2024,3,unit
1405,North Manly,1015,23/02/2023,1,house
1406,Oakhurst,525,13/03/2024,5,unit
1407,Cecil Hills,608,30/01/2024,2,unit
1408,Waverley,979,28/08/2024,1,house
1409,Hurstville,2155,07/04/2023,1,house
1410,Bundeena,883,27/05/2023,2,unit
1411,Redfern,790,18/02/2023,4,house
1412,Bardwell Valley,1154,14/08/2023,3,unit
1413,Vaucluse,972,28/02/2024,4,house
1414,Palm Beach,1045,23/03/2023,5,house
1415,Sutherland,624,28/04/2024,1,unit
1416,Wetherill Park,1383,08/07/2024,1,unit
1417,Glenmore Park,1499,08/09/2024,3,unit
1418,Bidwill,657,08/08/2024,4,unit
1419,Woodpark,1329,28/01/2023,4,unit
1420,St Leonards,2223,25/04/2023,4,house
1421,Lindfield,673,15/02/2024,5,unit
1422,Bayview,1001,02/04/2024,4,unit
1423,Milsons Point,522,31/01/2023,3,unit
1424,Marsden Park,1488,07/11/2023,1,house
1425,Middle Dural,1225,14/07/2023,3,unit
1426,Smithfield,1596,02/06/2024,2,house
1427,Miranda,1035,27/03/2024,5,house
1428,Roseville Chase,773,01/02/2024,3,unit
1429,Bidwill,835,30/03/2023,4,house
1430,Coasters Retreat,1815,04/03/2024,2,house
1431,West Pymble,714,06/02/2024,5,unit
1432,Ambarvale,532,20/10/2023,2,unit
1433,Cottage Point,1111,21/05/2023,5,house
1434,Milsons Passage,788,26/01/2024,1,unit
1435,Prospect,2185,08/05/2024,2,house
1436,Merrylands,1107,06/08/2023,3,unit
1437,Woolloomooloo,1347,10/09/2023,3,unit
1438,Paddington,1308,20/09/2023,5,house
1439,Mount Druitt,1234,30/05/2024,3,unit
1440,Allawah,2169,07/05/2024,4,house
1441,Condell Park,1328,04/11/2023,5,unit
1442,Oran Park,699,16/04/2024,4,unit
1443,Lansdowne,914,28/02/2024,1,unit
1444,Bligh Park,572,04/10/2023,4,unit
1445,Palm Beach,1125,10/03/2024,3,unit
1446,Maroubra,525,27/01/2024,4,unit
1447,Canterbury,762,15/03/2024,5,unit
1448,Spring Farm,624,12/02/2024,5,unit
1449,Wentworthville,2164,13/01/2024,1,house
1450,Liverpool,1357,28/03/2023,2,house
1451,Kellyville Ridge,1749,14/11/2023,4,house
1452,Palm Beach,516,21/05/2023,4,unit
1453,Old Toongabbie,2068,20/09/2023,1,house
1454,Wakeley,1906,26/07/2024,5,house
1455,Vineyard,1836,05/03/2023,2,house
1456,Middle Cove,1288,19/01/2023,4,unit
1457,Regents Park,532,20/01/2023,3,unit
1458,Tempe,829,22/04/2024,2,unit
1459,Dolls Point,711,29/01/2024,3,unit
1460,Alexandria,1041,11/08/2023,3,unit
1461,Ermington,816,16/01/2023,1,unit
1462,South Turramurra,1852,26/10/2024,3,house
1463,Winston Hills,2148,20/10/2024,2,house
1464,Rosebery,1297,16/08/2023,1,house
1465,Darling Point,1060,26/05/2023,2,unit
1466,Denistone,755,28/07/2024,3,unit
1467,Banksia,548,19/02/2023,5,unit
1468,Killara,923,30/09/2023,2,unit
1469,Manly,793,23/07/2024,1,unit
1470,Huntleys Cove,1296,14/09/2024,5,house
1471,Oakville,673,01/04/2024,4,unit
1472,Green Valley,613,14/01/2023,1,unit
1473,Glenmore Park,1785,28/08/2024,1,house
1474,Freshwater,1584,22/08/2023,2,house
1475,Elderslie,864,16/09/2023,3,unit
1476,Casula,1032,07/10/2024,1,house
1477,Willoughby,614,15/04/2024,1,unit
1478,Beverly Hills,689,10/01/2023,4,unit
1479,Sandringham,1186,21/03/2023,2,house
1480,Chiswick,982,27/12/2023,5,house
1481,Collaroy,832,24/02/2024,1,house
1482,Regents Park,1573,03/02/2024,5,house
1483,Tregear,802,07/02/2023,3,house
1484,Glenorie,2121,09/10/2023,4,house
1485,Berrilee,1900,17/06/2024,2,house
1486,Stanmore,904,04/12/2023,3,unit
1487,Shanes Park,1537,08/12/2023,4,house
1488,Peakhurst,927,13/07/2024,3,house
1489,Lewisham,676,10/09/2024,5,unit
1490,Wisemans Ferry,1119,10/01/2024,5,unit
1491,Cabarita,985,08/10/2024,3,house
1492,Beecroft,1170,09/08/2023,5,unit
1493,Tempe,1350,14/11/2023,3,unit
1494,Sackville North,750,12/10/2023,3,house
1495,Crows Nest,809,29/12/2023,4,unit
1496,Cecil Hills,1407,05/03/2024,3,unit
1497,Narrabeen,2218,27/07/2024,4,house
1498,Warriewood,784,26/06/2024,1,unit
1499,Edensor Park,1174,18/03/2023,4,house
1500,Woodbine,971,28/01/2023,4,unit
1501,Oxford Falls,1148,17/09/2024,2,unit
1502,North Willoughby,1328,03/03/2024,3,unit
1503,Orchard Hills,1010,10/04/2023,1,unit
1504,Bangor,1412,25/05/2024,1,unit
1505,Sandringham,1791,16/07/2024,3,house
1506,Daceyville,807,22/03/2023,2,unit
1507,Forest Glen,701,03/10/2024,5,unit
1508,Tamarama,1888,04/06/2023,3,house
1509,Austral,1428,30/12/2023,2,unit
1510,Canada Bay,1242,25/07/2024,2,unit
1511,Cowan,1079,28/11/2023,4,unit
1512,Kyle Bay,1461,31/05/2023,2,unit
1513,West Pymble,1137,05/02/2024,3,unit
1514,Bronte,727,19/06/2023,1,unit
1515,Wiley Park,1305,25/06/2023,2,house
1516,Tregear,1087,29/01/2024,3,house
1517,Revesby,850,11/07/2023,2,unit
1518,Miller,874,09/02/2024,5,unit
1519,Alexandria,1849,15/01/2024,5,house
1520,Holsworthy,887,15/01/2024,3,unit
1521,Cheltenham,1794,11/10/2023,1,house
1522,Rockdale,1618,11/01/2023,4,house
1523,Bankstown Aerodrome,608,24/07/2023,3,unit
1524,Heathcote,970,20/01/2024,2,house
1525,Pennant Hills,1470,12/03/2023,3,unit
1526,McGraths Hill,936,10/09/2024,2,house
1527,St Marys,1522,10/12/2023,4,house
1528,Berrilee,625,06/07/2024,2,unit
1529,Galston,795,14/09/2024,1,house
1530,Clarendon,1815,18/02/2024,3,house
1531,South Coogee,1084,13/10/2023,2,unit
1532,Holsworthy,2107,03/01/2023,4,house
1533,Mosman,1779,16/09/2023,3,house
1534,Terrey Hills,524,12/06/2024,2,unit
1535,Richmond,2235,21/03/2024,5,house
1536,Malabar,2169,07/01/2023,1,house
1537,Kirrawee,737,25/11/2023,2,unit
1538,Eastgardens,899,21/05/2024,4,unit
1539,Kurraba Point,1360,27/08/2023,4,unit
1540,Darling Point,1470,09/07/2023,4,house
1541,Normanhurst,737,01/12/2023,3,unit
1542,Stanhope Gardens,782,10/08/2023,4,unit
1543,Dulwich Hill,1206,04/05/2023,4,unit
1544,Tennyson Point,2079,14/02/2023,3,house
1545,Bankstown Aerodrome,1302,26/01/2023,3,unit
1546,Tennyson Point,2059,04/10/2024,3,house
1547,Currawong Beach,838,02/01/2024,1,house
1548,Shalvey,1494,07/12/2023,5,unit
1549,Pemulwuy,1379,27/08/2023,4,unit
1550,Bungarribee,1626,28/03/2024,4,house
1551,Milsons Passage,1132,25/07/2024,2,unit
1552,Northbridge,1846,27/03/2023,3,house
1553,Croydon Park,568,28/11/2023,3,unit
1554,Greenhills Beach,738,06/02/2024,1,unit
1555,Terrey Hills,1163,15/02/2023,4,unit
1556,Kingsford,1818,19/06/2023,2,house
1557,Glen Alpine,672,31/03/2024,3,unit
1558,Concord,1088,11/07/2024,1,unit
1559,Bayview,1268,12/08/2024,4,unit
1560,Wheeler Heights,1126,03/12/2023,2,unit
1561,Manly,1102,16/09/2023,3,house
1562,Woodbine,1458,10/08/2023,4,unit
1563,Pendle Hill,1747,15/04/2023,3,house
1564,Caddens,962,19/12/2023,5,unit
1565,Moorebank,513,03/01/2023,4,unit
1566,Kirrawee,1920,31/01/2024,3,house
1567,McMahons Point,555,30/08/2023,4,unit
1568,Warwick Farm,1951,14/09/2023,5,house
1569,Mortdale,1258,14/04/2024,4,house
1570,Chullora,1240,24/08/2024,2,house
1571,Jamisontown,2079,29/09/2024,1,house
1572,Cremorne,1259,22/05/2023,5,unit
1573,Arndell Park,1473,22/06/2024,5,house
1574,Centennial Park,1783,12/03/2024,4,house
1575,Grays Point,826,04/05/2024,3,house
1576,Killara,957,09/07/2023,3,unit
1577,Burraneer,1878,14/10/2024,2,house
1578,Marayong,609,07/05/2023,3,unit
1579,Burraneer,1623,12/02/2024,5,house
1580,Kyle Bay,1356,02/06/2023,2,house
1581,Leichhardt,1506,22/12/2023,5,house
1582,Rydalmere,693,07/05/2023,2,unit
1583,McGraths Hill,1657,19/09/2023,1,house
1584,Greendale,1774,09/09/2023,2,house
1585,Mount Lewis,1014,13/08/2024,2,house
1586,The Rocks,1429,21/05/2024,2,unit
1587,Raby,518,21/07/2023,3,unit
1588,Willoughby East,1269,10/10/2024,2,house
1589,Rydalmere,965,05/12/2023,4,unit
1590,Rockdale,1144,22/07/2024,4,unit
1591,Pyrmont,1367,05/07/2024,2,unit
1592,Homebush,778,11/04/2023,2,house
1593,Girraween,628,15/05/2023,4,unit
1594,Wisemans Ferry,994,09/01/2023,1,house
1595,Melrose Park,777,04/05/2024,5,house
1596,North Turramurra,2014,27/06/2023,4,house
1597,Cabarita,1554,03/03/2023,3,house
1598,Oran Park,1810,20/07/2023,4,house
1599,Darling Point,656,07/07/2024,1,unit
1600,Enmore,2085,27/03/2023,4,house
1601,Normanhurst,2047,21/09/2023,1,house
1602,Fiddletown,1233,25/02/2023,4,unit
1603,Emerton,923,30/04/2023,1,unit
1604,Ingleburn,733,13/08/2023,5,unit
1605,Lilli Pilli,889,09/05/2023,3,unit
1606,Cattai,625,29/01/2024,4,unit
1607,Clyde,801,27/09/2024,2,house
1608,Lane Cove North,762,26/01/2024,2,unit
1609,Berrilee,1290,15/03/2023,2,house
1610,Fairfield West,1198,16/12/2023,2,unit
1611,Macquarie Links,1597,18/01/2024,3,house
1612,Toongabbie,1260,25/05/2023,1,house
1613,Windsor Downs,505,26/04/2023,4,unit
1614,Mortdale,2125,31/01/2023,3,house
1615,Narellan,2076,16/04/2023,2,house
1616,Pymble,641,18/10/2024,5,unit
1617,Roseville,1188,23/06/2024,2,house
1618,Erskineville,840,02/05/2023,4,unit
1619,Morning Bay,1127,12/03/2023,2,unit
1620,Ropes Crossing,1203,27/12/2023,1,house
1621,Bankstown Aerodrome,1089,30/08/2024,4,house
1622,Castlereagh,1365,20/06/2023,2,house
1623,North Balgowlah,749,07/06/2024,3,unit
1624,Beecroft,1169,09/02/2024,2,unit
1625,Milsons Point,770,13/11/2023,1,unit
1626,North Turramurra,1990,11/07/2024,4,house
1627,Barden Ridge,1007,26/11/2023,4,unit
1628,Wetherill Park,1905,17/05/2023,3,house
1629,Queenscliff,1525,19/12/2023,3,house
1630,Camellia,1684,05/05/2023,2,house
1631,Bondi Beach,927,26/06/2023,4,unit
1632,Claremont Meadows,1953,12/10/2023,5,house
1633,West Pymble,1518,21/08/2024,3,house
1634,North Rocks,1172,02/01/2023,5,unit
1635,Jamisontown,2127,27/05/2024,5,house
1636,Berkshire Park,1578,16/02/2024,3,house
1637,Holsworthy,1136,19/08/2023,1,unit
1638,North Willoughby,999,14/04/2023,3,unit
1639,Botany,609,29/02/2024,3,unit
1640,Centennial Park,1762,29/02/2024,2,house
1641,Beacon Hill,1657,02/01/2023,5,house
1642,North Willoughby,1177,10/04/2024,3,house
1643,Granville,2196,13/03/2024,2,house
1644,Wetherill Park,1233,03/03/2024,2,house
1645,Kemps Creek,1314,21/01/2024,3,unit
1646,Lilli Pilli,2131,01/03/2024,3,house
1647,Menai,1390,21/08/2024,3,unit
1648,Londonderry,1464,17/06/2024,5,unit
1649,Beacon Hill,1496,22/03/2024,3,unit
1650,Lovett Bay,1012,07/02/2023,4,unit
1651,Darlington,2040,12/12/2023,1,house
1652,Carss Park,1135,10/08/2024,1,house
1653,Wahroonga,2248,04/06/2024,2,house
1654,Lucas Heights,1279,11/10/2024,1,unit
1655,Northbridge,2239,19/06/2024,2,house
1656,Putney,1653,29/08/2023,3,house
1657,Baulkham Hills,1689,14/04/2023,2,house
1658,Villawood,1026,17/05/2024,3,house
1659,Kurnell,1331,21/07/2023,3,unit
1660,Rosemeadow,1833,11/04/2023,2,house
1661,Warwick Farm,1362,20/08/2024,1,house
1662,Prairiewood,1089,13/06/2024,3,unit
1663,Ashcroft,509,18/09/2023,2,unit
1664,Kogarah,1283,31/12/2023,5,unit
1665,Allambie Heights,1313,13/04/2024,3,unit
1666,Cambridge Gardens,888,03/11/2023,2,unit
1667,Gledswood Hills,1347,12/05/2024,1,house
1668,Villawood,1368,02/09/2024,3,house
1669,Haymarket,2227,31/08/2024,1,house
1670,Linley Point,1284,17/12/2023,1,house
1671,Asquith,1207,02/05/2024,3,unit
1672,Liverpool,718,01/03/2023,4,unit
1673,Harrington Park,1340,12/11/2023,5,unit
1674,Beaconsfield,1308,05/05/2023,3,house
1675,Mosman,1408,06/04/2023,1,house
1676,Kirkham,1477,16/09/2024,2,house
1677,Point Piper,1018,04/08/2023,3,unit
1678,Erskine Park,1146,25/09/2023,2,unit
1679,Enmore,1434,11/09/2023,1,unit
1680,Kingswood,1263,29/06/2023,2,unit
1681,Pymble,1097,03/05/2023,3,unit
1682,Spring Farm,1539,05/01/2023,3,house
1683,Bringelly,961,21/10/2023,3,house
1684,Lane Cove North,1429,29/06/2023,4,unit
1685,Bankstown Aerodrome,856,22/10/2023,2,unit
1686,Botany,1975,10/08/2023,2,house
1687,Cremorne Point,2161,26/08/2024,4,house
1688,Claymore,1462,10/01/2024,3,house
1689,Belrose,992,11/08/2023,1,unit
1690,Lilli Pilli,1965,13/03/2023,5,house
1691,Glenhaven,1443,24/03/2023,1,unit
1692,Greenfield Park,1397,20/08/2023,5,unit
1693,Cambridge Park,1217,27/06/2023,4,unit
1694,Tamarama,1320,17/04/2023,4,unit
1695,Kogarah,1879,21/06/2024,2,house
1696,Mount Kuring-Gai,753,14/12/2023,5,unit
1697,Wentworthville,1816,02/09/2024,3,house
1698,Rushcutters Bay,966,26/10/2023,4,house
1699,Blair Athol,763,05/10/2024,4,unit
1700,Chatswood West,776,05/09/2023,5,unit
1701,Parramatta,1902,27/12/2023,3,house
1702,Maroubra,1246,10/07/2023,4,house
1703,McGraths Hill,1000,21/04/2024,3,unit
1704,North Manly,772,08/12/2023,5,unit
1705,Newington,675,05/08/2024,5,unit
1706,Scotland Island,2050,15/03/2023,4,house
1707,Bringelly,1863,10/07/2023,3,house
1708,Palm Beach,1334,30/09/2023,3,unit
1709,Berowra Waters,1291,01/07/2024,3,unit
1710,Agnes Banks,853,21/09/2023,2,house
1711,Northmead,913,22/02/2023,5,unit
1712,North Narrabeen,1648,04/06/2023,2,house
1713,Pleasure Point,2052,09/01/2024,3,house
1714,Middle Cove,650,15/02/2024,5,unit
1715,Rouse Hill,1370,06/05/2024,5,unit
1716,North Ryde,1863,11/07/2023,1,house
1717,Balgowlah Heights,1914,16/06/2024,1,house
1718,Heathcote,1203,30/07/2024,2,house
1719,Harrington Park,850,03/10/2023,3,house
1720,Kings Langley,1225,27/08/2024,4,unit
1721,Pemulwuy,901,26/07/2024,4,unit
1722,Narellan,1232,17/09/2023,5,unit
1723,Clovelly,1299,30/03/2023,1,house
1724,South Granville,902,06/10/2023,2,unit
1725,Glebe,1722,27/06/2023,2,house
1726,Canley Heights,2016,11/08/2024,2,house
1727,Woodbine,1012,05/06/2024,1,unit
1728,Eveleigh,1573,03/02/2024,2,house
1729,Cabramatta West,1184,02/03/2023,3,unit
1730,Ermington,1069,16/01/2024,4,unit
1731,Oatlands,509,03/11/2023,4,unit
1732,Oatley,825,01/02/2023,4,house
1733,Homebush West,1699,21/07/2023,4,house
1734,Bilgola Plateau,809,25/12/2023,2,unit
1735,Bilgola Plateau,1458,06/12/2023,4,unit
1736,Kensington,1395,23/10/2023,5,house
1737,Engadine,1128,30/01/2024,2,unit
1738,Malabar,1306,23/12/2023,3,unit
1739,Liberty Grove,1024,30/07/2024,4,unit
1740,Clovelly,842,16/04/2024,1,unit
1741,Riverwood,1585,20/07/2023,1,house
1742,Pagewood,1230,02/07/2024,5,unit
1743,Old Guildford,602,18/08/2023,2,unit
1744,Balgowlah,544,01/07/2023,1,unit
1745,Mount Druitt,1358,25/03/2023,1,unit
1746,Phillip Bay,645,21/10/2024,2,unit
1747,Cambridge Park,1049,29/09/2024,4,unit
1748,Girraween,1852,19/09/2024,4,house
1749,Connells Point,812,27/09/2024,5,unit
1750,Rosebery,1113,09/06/2024,1,house
1751,South Coogee,1087,19/05/2024,5,house
1752,St Andrews,1425,03/07/2024,2,unit
1753,Canley Vale,698,10/02/2023,3,unit
1754,Rouse Hill,1897,02/12/2023,1,house
1755,Kurnell,1041,13/05/2023,3,house
1756,Jordan Springs,1639,22/06/2023,2,house
1757,Newington,1617,15/12/2023,4,house
1758,Lilli Pilli,753,02/01/2023,4,house
1759,Arncliffe,1821,23/04/2023,3,house
1760,Asquith,661,02/06/2023,5,unit
1761,Eagle Vale,810,19/02/2023,4,house
1762,Greenfield Park,854,03/11/2023,3,unit
1763,Dharruk,1199,20/01/2023,3,unit
1764,Beverly Hills,1896,23/03/2023,3,house
1765,Seaforth,1722,07/08/2023,4,house
1766,Kangaroo Point,1111,23/11/2023,3,house
1767,Bangor,1189,10/04/2023,3,house
1768,Ashbury,1816,22/02/2024,5,house
1769,Cronulla,711,01/12/2023,3,unit
1770,Mount Vernon,1153,16/02/2024,3,house
1771,Hurlstone Park,694,17/02/2024,4,unit
1772,Riverwood,1273,02/05/2024,2,house
